type,question,answer,explanation
2-hop_CoActor,Charlize Theron và Brooke Smith có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Michael J. Fox có phải là cha/mẹ của William Fox không?,No,"Sai, Michael J. Fox là con của William Fox."
2-hop_CoActor,Rob Delaney và Kate McKinnon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Nora Ephron có phải là cha/mẹ của Henry Ephron không?,No,"Sai, Nora Ephron là con của Henry Ephron."
Family,Cha/Mẹ của Philip Seymour Hoffman là ai?,Gordon Hoffman,Gordon Hoffman là cha/mẹ của Philip Seymour Hoffman.
MCQ_Director,"Ai là đạo diễn của phim 'Dances with Wolves'?
A. Kevin Costner
B. Byron Howard
C. Elizabeth Banks
D. Alan Taylor",A,Đạo diễn của 'Dances with Wolves' là Kevin Costner.
Family_YesNo,Peter Fonda có phải là cha/mẹ của Henry Fonda không?,No,"Sai, Peter Fonda là con của Henry Fonda."
2-hop_CoActor,Nicole Kidman và Allison Janney có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Danny Huston có phải là cha/mẹ của Zoe Sallis không?,No,"Sai, Danny Huston là con của Zoe Sallis."
Family_YesNo,Tom Selleck có phải là cha/mẹ của Martha Jagger không?,No,"Sai, Tom Selleck là con của Martha Jagger."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Michael Jackson's Ghosts' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Michael Jackson's Ghosts."
2-hop_CoActor,Sylvester Stallone và Bruce Willis có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Justice League' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Justice League."
2-hop_CoActor,Logan Marshall-Green và Scott Eastwood có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
1-hop_YesNo,Steven Spielberg có tham gia bộ phim 'Men in Black' không?,Yes,"Đúng, Steven Spielberg là diễn viên trong phim Men in Black."
MCQ_Director,"Ai là đạo diễn của phim 'Non-Stop'?
A. Jaume Collet-Serra
B. Elizabeth Banks
C. Christopher Nolan
D. Noah Baumbach",A,Đạo diễn của 'Non-Stop' là Jaume Collet-Serra.
MCQ_Director,"Ai là đạo diễn của phim 'Moonfall'?
A. Roland Emmerich
B. Jackie Chan
C. Justin Lin
D. Adam McKay",A,Đạo diễn của 'Moonfall' là Roland Emmerich.
Family_YesNo,Justin Timberlake có phải là cha/mẹ của Randall Timberlake không?,No,"Sai, Justin Timberlake là con của Randall Timberlake."
MCQ_Director,"Ai là đạo diễn của phim 'Taxi Driver'?
A. Nora Ephron
B. Martin Scorsese
C. Victor Vu
D. Gore Verbinski",B,Đạo diễn của 'Taxi Driver' là Martin Scorsese.
Family,Cha/Mẹ của Rebecca De Mornay là ai?,Wally George,Wally George là cha/mẹ của Rebecca De Mornay.
MCQ_Director,"Ai là đạo diễn của phim 'The Iron Giant'?
A. Seth Rogen
B. Brad Bird
C. Stan Winston
D. John Krasinski",B,Đạo diễn của 'The Iron Giant' là Brad Bird.
2-hop_CoActor,Malcolm Gets và Kim Cattrall có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sex and the City'."
1-hop_YesNo,Bill Camp có tham gia bộ phim 'Joker' không?,Yes,"Đúng, Bill Camp là diễn viên trong phim Joker."
1-hop_YesNo,Kristin Davis có tham gia bộ phim 'Sex and the City' không?,Yes,"Đúng, Kristin Davis là diễn viên trong phim Sex and the City."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Acts of Violence' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Acts of Violence."
2-hop_CoActor,Sylvester Stallone và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Escape Plan'."
Family_YesNo,Julie Delpy có phải là cha/mẹ của Marie Pillet không?,No,"Sai, Julie Delpy là con của Marie Pillet."
2-hop_CoActor,Emily Stofle và Taj Tallarico có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
